titles,link_to_content,textes,categories
Ndax Yàlla moo nu teg nattu walla sunug nangoo nuy lor: méngaleel dundug doomi réewum Libaan ci Senegaal ak dundug doomi Senegaal ca Libaan !,https://saabal.com/ndax-yalla-moo-nu-teg-nattu-walla-sunug-nangoo-nuy-lor-mengaleel-dundug-doomi-reewum-libaan-ci-senegaal-ak-dundug-doomi-senegaal-ca-libaan/,"['Partager la publication ""Ndax Yàlla moo nu teg nattu walla sunug nangoo nuy lor: méngaleel dundug doomi réewum Libaan ci Senegaal ak dundug doomi Senegaal ca Libaan !""']",bitim-reew
Liy firndeel ne yaqub làkku Wolof a gën a gànjaru bob farañse,https://saabal.com/liy-firndeel-ne-yaqub-lakku-wolof-a-gen-a-ganjaru-bob-faranse/,"['Bismillaah, ci turu Yàlla, ma tàmbali. Alhamdu lillaah, cant fa Yàlla.🤲🏿', 'Bokk yi kaayleen nu waxtaan ci làkku farañse!📢', 'Mbokk mbaa xam nga ne làkku farañse mi nga naw lool ba mu tax la a xeeb saw làkk, ni làkk yépp ay waat yu ñu àbb te dajale dong la😌???', 'Topp ma, dinga ci xam dara👊🏿!', 'Ci farañse:', '😌-Waati xam-xam yi, waati gereg ak yu latiŋ yu ñu jabbase (jaxase) lañu.', 'Niral : hydro-phile : nob-ndox🤨 lay tekki ci gereg, hydro-phobe : ragal-ndox…..😲', 'Yeneen waat yi noonu lañu mel.', '😌-Waat yi jëm ci xare yu bari ci Almaa lañu juge', 'Niral: Maréchal ( A: Marschall), obus ( A: Haubitze )…..😲', 'Yeneen waat yi it noonu lañu mel.', '😌-Waat yi jëm ci xarala yu yees yi yu ci bari ci àngale la ko àbbe.', 'Niral: internet, taylorisation, …😲', '😌-Waat yi jëm ci mbay ak biri bis bu ne yu bari ci normaa lañu juge.', 'Niral: crèche, auberge, blanc, ble….😲', '😌🤝🏿-Toppaat ma ma xamal la làkk yi farañse àbb ak limu waat yi mu leen àbb.', '. Àngale: 2515i waat. Làkku itaali : 1198i waat. Almaa ak làkku Ótiris: 546i waat. Español: 476i waat. Làkku Neerlànd: 249i waat. Portige: 117i waat. Araab ak làkki Afrig-asi : 528i waat. Farañsig ga woon: 368i waat. Làkku Góol: 147i waat. Yenn làkki islaaf ak yu indoy amerig : 10 931', '😱😱😱😱Lii yéemewut a!!', '. Wolof : àbb na ko ay waat yu bari lim ba a leerul.🤩', 'Niral: laptot: lapptoo, banane: banaana, karité: kaarite, turu garab yu bari ak yeneen…😊😲', '(Sukkandikukaayu yenn yi: «\xa0le Robert\xa0»)😌😌', 'Ca gàggantikaayu «\xa0le Robert\xa0» 60 000i waat ya ca ne, 11 825 yi farañse da ko a àbb😱😱 (xaaral ma daw sax!!)', '😌Ci gàttal, wenn làkk setul ci àbb, rawatina farañse😁, moom ay waati àbb yu ñu dajale rekk la daanaka. (Àngale a ko a yées nag, mooy làkk wi ëpp i àbb ci kaw suuf ci li nu xamagum, waatam ya xaaj ba da ko a àbb😱🤭🏃🏿\u200d♂️)', '😋Cëy! Bu nu delloo woon waat yi farañse àbb seen i woroom, lu farañsey dese ciy waat?😅 Ndax farañse dina amati?😫 Ndax farañse bi dina manati wax soxlaam?🥺', 'Bokk yi, tontuleen laaj yi!!🤝🏿👊🏿', 'Abdulaay Sekk', 'Partager la publication ""Liy firndeel ne yaqub làkku Wolof a gën a gànjaru bob farañse""']",bitim-reew
"Tënub Lewopóol II, di raykatu nit bu mag, jot na wàllam",https://saabal.com/tenub-lewopool-ii-di-raykatu-nit-bu-mag-jot-na-wallam/,"['Tënub Léwopóol II ba nekk ca déngaleereb ngàngunaay bu Burusel la ñu daax cuub bu xonq ci tallata jee ci ngoon. Ki jëf jëf ju ni mel nag mooy bañkat bii te di ab bindkat di «\xa0Théophile de Giraud\xa0» muy tuumaal Lewopóol II, ne raykatu nit bu mag a mag la ca ba muy mbéefar réewum Kóngoo.Bindkat boobu te di ab bañkat, dëkk ca Belsig moo yéeg ba ca kaw tën ba, jaare ko ci ag buum, bi 15i waxtu jotee ci talaata ji laataa muy sotti cuub bu xonq boobu ca kaw tën ba ngir wane deret ju bari ja waa jooju tuur.', 'Ba muy def jëf ju ni mel nag lu ëpp fukki nit ak juróom ña nga fa woon di ko tàccu ak a ndokkeel.', 'Bu nu sukkandikoo ci moom, Lewopóol ll, ab yongkat la bu ray nit ñu bari ba waral kenn waru koo jàppe jàmbaar ju ñuy sargal ca réew ma.', 'Ginnaaw loolu ca la alkaati ya egsee ca bayaal ba. Bindkat bi wàcc fasu xànjar wa mu yéegoon ca tënub Léwopóol ll, ngir alkaati yi jàpp ko.', '«Xam ngeen ne amóo leen xorom di», di la mu wax Alkaati ya laata ñu koy dugal ca seen daamar ja. Jëf jooju nag waajal na ko ñatti ayu-bis. Lél bi moom jàppu ko woon. «\xa0Àndunu ci benn màndarga bu teguwul ci yoon\xa0», «\xa0Léwopóol ll = yongkat bi gën a mag ci àddina si «\xa0, di mbind ma ñiy dawal ca pankart ya.', 'Tën: statue / yongkat: criminel, assassin / mbéefar: coloniser, asservir / Déngeleereb ngàngunaay : place du trône ', 'Albatros', 'Partager la publication ""Tënub Lewopóol II, di raykatu nit bu mag, jot na wàllam""']",bitim-reew
Xoolal rekk ni ko alkaati yi raye…,https://saabal.com/xoolal-rekk-ni-ko-alkaati-yi-raye%f0%9f%98%a2/,"['Partager la publication ""Xoolal rekk ni ko alkaati yi raye…""']",bitim-reew
Mbas maa ngi séqi ay jéego ci Afrig…,https://saabal.com/mbas-maa-ngi-seqi-ay-jeego-ci-afrig/,"['Afrig romb na limub fukki junni (10 000) ñu aru te juróomi- téemeeri (500) nit ñu faatu am na fi.', 'Limub ñi aru ci koronaawiris bi ci Afrig romb na fukki junni te waññ nañu ci juróomi- téemeeri nit ñu faatu bunu sukkandikoo ci mbootaay gi yor wérgu-yaram ci àddina si. Gisoon nañu ne doomu jàngoro bi yeexoon na ay jéego lool ci Afirig bunu ko méngalee ak yeneen kembaar yi waaye tasaroog jàngoro ji mu ngi tàmbalee gaaw ci ayu-bis yu mujj yii. ', 'Jarag ji njëkk ci koronaawiris bi ci kembaarug Afrig mu ngi feeñoon ci fukki fan ak ñatt ci feewirye ca réewum Isibt ca la jàll nag ci yeneen réewi Afrig yi te jógewul fenn lu dul ci tukkikat yu jóge ca Asi, Órob ak ca Amerig. Booba ak leegi juróom-fukk ak ñaari réew ci Afrig wax nañu ne am nañu ay nit yu am doomu jàngoro ji. ', '\xa0» Koronaawiris am na man-manu ray ay junni-junniy nit waaye yamul foofu nde man naa jur ay mbajal ci koom ak ci dundiin. Ag tasaroom ci taax yu mag yi dina waral ñu lal yeneen i pexe ngir xeex doomu-jàngoro ji \xa0» bunu sukkandikoo ci kàdduy doktoor Matsidisoo Moyeti di ki jiite mbootaay gi yor wérgu-yaram ci Afirig.', ' \xa0» Loolu dafay soxla tontu buñu yaatal te mengale ko ak nekkiinu gox yi\xa0», di la mu ca dolli…', 'Kembaar g: continent  / mbajal m: désastre / jarag j: ku wopp (malade) ', 'Albatros ak Habiibul Xadiim Géy', 'Partager la publication ""Mbas maa ngi séqi ay jéego ci Afrig…""']",bitim-reew
Metiital gi ñuy def doomi Afrig yi ca Guwaŋsu,https://saabal.com/metiital-gi-nuy-def-doomi-afrig-yi-ca-guwansu/,"['Ndaw ya toogal seen i réew ca Siin yékkati nañu seen i kaddu', 'Ndawi Afrig yi toogal seen i réew ca Pekin bind nañu bataaxel bu ñu jébbal Wang yi may njëwrin ja yor mbiri biir réew ma ngir xamal ko boddi-xeet ga am ca dëkk bii di Guwaŋsu te di dal ci kaw doomu Afrig yi. Ci seen bataaxel bi nag ñi ngi ciy joxe ay niiral:', '● Ay doomi Afrig yu ñu génne ca seeni daluwaay ci xaaju guddi ndax dañoo yor der bu ñuul', '● Ay dongoy daara ju kawe ju Sun- Yat Sen ca Guwaŋsu yu ñu doon saytu seen yaram te masu ñoo am jafe-jafey wérgi-yaram ca jamono ja wees ak ja ñu nekk.', '● Tànn gi ñu tànn ndongoy daara ju kawe ja te di ay doomi Afrig ngir saytu seen yaram bàyyi seen naataango yi yorul der bu ñuul', '● Ay doomi Afrig yoo xam ne dañuy sëy ak jigéeni Sinwaa te ñu nga leen singali ngir saytu seen yaram ndax amuñu jàngoroy koronaawiris ji. Ci ñenn ñi dañoo mujj jël góor ñi texale leen ak seen i njaboot ber leen.', '● Ay doomi Afrig yu ñu génne ca seeni dëkkuwaay, wàcc leen ci biti am ñenn ñoo xam ne sax dañoo yore seeni doom yu ndaw', '● Ay doomi Afrig yu ñu nangu seeni jàll-waax mu bokk ci jëf yiy xëtt sañ-sañu doom-aadama ca bitim réew', '● Bunduxataal ak toroxal guy wéy di dal ci doomi Afrig yi, di saytu seen yaram ci ñoo xam ne amuñu jàngoro ji ak ñoo xam ne dañu leen a ber te xam nañu ne dara jotu leen', '● Ñoo xam ne it dañu leen di xopp ci dakkal seen wiisaa walla ñu jàpp leen walla ñu tëj leen walla sax ñu génne leen ca réew ma ci lu laluwul ci dara lu dul dañuy ay nit ñu ñuul.', 'Albatros ak Habiibul Xadiim Géy', 'Partager la publication ""Metiital gi ñuy def doomi Afrig yi ca Guwaŋsu""']",bitim-reew
Lu ëpp juróom ñeent fukk junnii 90 000i nit dee nañu ci àddina si.,https://saabal.com/lu-epp-juroom-neent-fukk-junnii-90-000i-nit-dee-nanu-ci-addina-si/,"['', 'Mbas mi ray na lu tollu ci juróom ñeen-fukk junniy (90 000) nit ci àddina si bunu sukkandikoo ci waññi gi AFP def.', 'Waññi gi nag wane na ne juróom ñeen-fukki junni ak juróom ñenti téemeer ak fanweer ak juróom ñatti (90 938) nit dee nañu ci mbas mi te juróom benn fukk ak ñenti junni yi ak ñatti téemeer ak ñeen-fukk ak ñaar ñi (64 142) ca Tugal lañu fatoo di kembaar gi tawat ji gën a laal.', 'Leeral:Kembar g: continent', '', 'Partager la publication ""Lu ëpp juróom ñeent fukk junnii 90 000i nit dee nañu ci àddina si.""']",bitim-reew
Askanu Farãas ñoo ngay jure (porter plainte ) seen njiitu réew ma,https://saabal.com/askanu-faraas-noo-ngay-jure-porter-plainte-seen-njiitu-reew-ma/,"['Partager la publication ""Askanu Farãas ñoo ngay jure (porter plainte ) seen njiitu réew ma""']",bitim-reew
Donaal Tërëmp dal na ci mbootaay gi yor wér gi yaram ci àddina bi,https://saabal.com/donaal-teremp-dal-na-ci-mbootaay-gi-yor-wer-gi-yaram-ci-addina-bi/,"['Njiitu réewum Amerig di Donaal Tërëmp xamle na ci talaata jii ne day aj dimbal li réewum Amerig daan jox mbootaay gi yor wér gi yaram ci àddina bi. Li muy ñaawlu nag mooy ni mbootaay gi doxalee ci mbasum koronaawiris bi.', '«\xa0Dinanu ajadi dimbal gi doon jëm ci mbootaay gi yor wér gi yaram ci àddina bi \xa0» di lenn ci kàdduy Donaal Tërëmp ba muy janoo ak taskati xibaar yi niki ni mu koy defee bis bu set.', 'Ci ab bataaxel bu mu jaarale ci «\xa0tiwitëer\xa0» te yàbbi ca aw meram ci talaata ji ci suba jëme ci mbootaay gi, njiitu réewum Amerig li jàpp na ne mbootaayug wer gi yaram ci àddina bi dañoo lajj te li ko ci gën a metti mooy alal ji ñuy jëfandikoo bay doxal mbootaay gi Amerig daanaka moo koy joxe waaye geestuwuñu leen Siin rekk la ñu xool. Ba waral nee na dina saytuwaat wayndare woowu.', 'Albatros ak Habiibul Xadiim Géy', 'Partager la publication ""Donaal Tërëmp dal na ci mbootaay gi yor wér gi yaram ci àddina bi""']",bitim-reew
Koronaawiris baa ngay jeexal nit ñu ñuul ña ca Amerig,https://saabal.com/koronaawiris-baa-ngay-jeexal-nit-nu-nuul-na-ca-amerig/,"['Bunu sukkandikoo ci AFP, ca ay gox yu bari ca Amerig, nit ñu ñuul ñaa nga fay faatu bu baax ci koronaawiris bi. Daanaka ñoom la fa gën a laal.', 'Ca Ilinuwaa, nit ñu ñuul ñaa nga fa tollu ci 14% ca ña fa dëkk waaye 42% ca ña fay faatu ay nit ñu ñuul la ñu. Ca Sikaagóo 72% ca ña fa faatu ay nit ñu ñuul la ñu. Ca Waasiŋton, ca 22i nit ña fa faatu 13 ay nit ñu ñuul la ñu. Ca Karolin gu bëjj Ganaar ga, 31% ca ña faatu ay ñuule la ñu bunu ko méngalee ak 22% ca nit ña. Ca Liwisiyaan, te Niiw Orleyoon, mel na ne tawat ji nit ñu ñuul ñi la singali nde ñoom 33% mooy seen ub lim waaye 70% ca ña faatu ay nit ñu ñuul la ñu.', 'Albatros ak Abdu Salaam Saar ', 'Partager la publication ""Koronaawiris baa ngay jeexal nit ñu ñuul ña ca Amerig""']",bitim-reew
